
------- Starting Log at: 10/10/2024, 14:06:30
This Arduino Board: Arduino Leonardo (COM4) on Port: COM4
USBCDCNeeded: 1
Enabled the watchdog with max countdown of 8000 milliseconds!

Seconds,VBat,A2Dval,SecsLeft,%CapRemain,Ch/Dis
566,1370,722,612,17,C,1374
568,1370,722,612,17,C,1374

------- Starting Log at: 10/10/2024, 14:16:14
This Arduino Board: Arduino Leonardo (COM4) on Port: COM4
USBCDCNeeded: 1
Enabled the watchdog with max countdown of 8000 milliseconds!

Seconds,VBatSmooth,A2Dval,SecsLeft,%CapRemain,Ch/Dis,VBat
12,1376,723,3600,100,D,1376
14,1376,723,3600,100,D,1376
16,1376,723,3600,100,D,1376
18,1376,723,3600,100,D,1376
20,1376,723,3600,100,D,1376
22,1376,723,3600,100,D,1376
24,1376,723,3600,100,D,1376
26,1376,723,3600,100,D,1376
28,1376,723,3600,100,D,1376
30,1376,723,3600,100,D,1376
32,1376,723,3600,100,D,1376
34,1376,724,3600,100,D,1378
36,1376,724,3600,100,D,1378
38,1376,724,3600,100,D,1378
PC: 'Momentary Stoop Ch
Unknown command ['Momentary Stoop Ch].
H for Help

40,1376,724,3600,100,D,1378
42,1376,724,3600,100,D,1378
44,1373,714,3600,100,D,1359
46,1372,722,3600,100,D,1374
48,1372,723,3600,100,D,1376
50,1372,723,3600,100,D,1376
52,1372,724,3600,100,D,1378
54,1372,724,3600,100,D,1378
56,1372,724,3600,100,D,1378
58,1372,724,3600,100,D,1378
60,1372,724,3600,100,D,1378
62,1372,724,3600,100,D,1378
64,1372,724,3600,100,D,1378
66,1372,724,3600,100,D,1378
68,1372,724,3600,100,D,1378
70,1373,725,3600,100,D,1380
72,1373,725,3600,100,D,1380
74,1373,725,3600,100,D,1380
76,1373,725,3600,100,D,1380
78,1373,725,3600,100,D,1380
80,1373,725,3600,100,D,1380
82,1373,725,3600,100,D,1380
84,1373,725,3600,100,D,1380
86,1373,725,3600,100,D,1380
88,1373,725,3600,100,D,1380
90,1374,726,3600,100,D,1382
92,1375,726,3600,100,D,1382
94,1375,726,3600,100,D,1382
96,1375,726,3600,100,D,1382
98,1375,726,3600,100,D,1382
100,1375,726,3600,100,D,1382
102,1375,726,3600,100,D,1382
104,1375,726,3600,100,D,1382
106,1376,727,648,18,C,1384
108,1377,727,648,18,C,1384
110,1377,727,648,18,C,1384
112,1377,727,648,18,C,1384
114,1377,727,648,18,C,1384
116,1377,727,648,18,C,1384
118,1377,727,648,18,C,1384
120,1379,728,648,18,C,1386
122,1379,728,648,18,C,1386
124,1379,728,648,18,C,1386
126,1379,728,648,18,C,1386
128,1380,729,648,18,C,1387
130,1380,729,648,18,C,1387
132,1380,729,648,18,C,1387
134,1380,729,648,18,C,1387
136,1382,730,684,19,C,1389
138,1382,730,684,19,C,1389
140,1382,730,684,19,C,1389
142,1383,731,684,19,C,1391
144,1384,731,684,19,C,1391
146,1384,731,684,19,C,1391
148,1385,732,684,19,C,1393
150,1386,732,684,19,C,1393
152,1386,732,684,19,C,1393
154,1388,733,684,19,C,1395
156,1388,733,684,19,C,1395
158,1390,734,684,19,C,1397
160,1391,735,756,21,C,1399
162,1392,735,756,21,C,1399
164,1394,736,900,25,C,1401
166,1395,737,900,25,C,1403
168,1396,737,900,25,C,1403
170,1398,738,1044,29,C,1405
172,1399,739,1044,29,C,1406
174,1401,740,1188,33,C,1408
176,1403,742,1332,37,C,1412
PC: 'Mom off
Unknown command ['Mom off].
H for Help

178,1404,739,1332,37,C,1406
180,1402,740,1332,37,C,1408
182,1404,743,1332,37,C,1414
184,1406,746,1476,41,C,1420
186,1410,748,1656,46,C,1424
188,1414,751,1872,52,C,1429
190,1418,754,2052,57,C,1435
192,1422,757,2232,62,C,1441
194,1427,761,2484,69,C,1448
196,1433,765,2772,77,C,1456
198,1438,766,2916,81,C,1458
200,1442,767,3096,86,C,1460
202,1446,767,3312,92,C,1460
204,1448,767,3456,96,C,1460
206,1450,767,3600,100,C,1460
208,1452,768,3600,100,C,1462
210,1454,768,3600,100,C,1462
212,1455,768,3600,100,C,1462
214,1455,768,3600,100,C,1462
216,1455,768,3600,100,C,1462
218,1456,768,3600,100,C,1462
220,1457,769,3600,100,C,1464
222,1457,769,3600,100,C,1464
224,1457,769,3600,100,C,1464
226,1457,769,3600,100,C,1464
228,1457,769,3600,100,C,1464
230,1457,769,3600,100,C,1464
232,1457,769,3600,100,C,1464
234,1457,769,3600,100,C,1464
236,1457,769,3600,100,C,1464
238,1457,769,3600,100,C,1464
240,1458,769,3600,100,C,1464
242,1458,770,3600,100,C,1465
244,1458,770,3600,100,C,1465
246,1458,770,3600,100,C,1465
248,1458,770,3600,100,C,1465
250,1458,770,3600,100,C,1465
252,1458,770,3600,100,C,1465
254,1458,770,3600,100,C,1465
256,1458,770,3600,100,C,1465
258,1458,770,3600,100,C,1465
260,1458,770,3600,100,C,1465
262,1458,770,3600,100,C,1465
264,1458,770,3600,100,C,1465
266,1458,770,3600,100,C,1465
268,1458,769,3600,100,C,1464
270,1458,770,3600,100,C,1465
272,1458,770,3600,100,C,1465
274,1458,770,3600,100,C,1465
276,1458,770,3600,100,C,1465
278,1458,770,3600,100,C,1465
280,1458,770,3600,100,C,1465
282,1458,770,3600,100,C,1465
284,1458,770,3600,100,C,1465
286,1458,770,3600,100,C,1465
288,1458,770,3600,100,C,1465
290,1458,770,3600,100,C,1465
292,1458,770,3600,100,C,1465
294,1458,770,3600,100,C,1465
296,1458,770,3600,100,C,1465
298,1458,770,3600,100,C,1465
300,1458,770,3600,100,C,1465
302,1458,770,3600,100,C,1465
304,1458,770,3600,100,C,1465
306,1458,770,3600,100,C,1465
308,1458,770,3600,100,C,1465
310,1458,770,3600,100,C,1465
312,1458,770,3600,100,C,1465
314,1458,770,3600,100,C,1465
316,1458,770,3600,100,C,1465
318,1458,770,3600,100,C,1465
320,1458,770,3600,100,C,1465
322,1458,770,3600,100,C,1465
324,1458,770,3600,100,C,1465
326,1458,770,3600,100,C,1465
328,1458,770,3600,100,C,1465
330,1458,770,3600,100,C,1465
332,1458,770,3600,100,C,1465
334,1458,770,3600,100,C,1465
336,1458,770,3600,100,C,1465
338,1458,770,3600,100,C,1465
340,1458,770,3600,100,C,1465
342,1458,770,3600,100,C,1465
344,1458,770,3600,100,C,1465
346,1458,770,3600,100,C,1465
348,1458,770,3600,100,C,1465
350,1458,770,3600,100,C,1465
352,1458,770,3600,100,C,1465
354,1458,770,3600,100,C,1465
356,1458,770,3600,100,C,1465
358,1458,770,3600,100,C,1465
